Index,Words,Usage,Time
85,utter,"Their anguish contrasts with utter glee in Silicon Valley, where home-grown social-media firms would love to be rid of their popular rival.",
86,glee,,
87,grumble,"With every grumble from Capitol Hill, the share prices of Meta, Pinterest, Snap and others edge higher.",
88,incumbent,TikTok’s fate hangs in the balance. But what is already clear is that the app has changed social media for good—and in a way that will make life harder for incumbent social apps. ,
89,wean,In less than six years TikTok has weaned the world off old-fashioned social-networking and got it hooked on algorithmically selected short videos.,
90,feeds,"TikTok’s success has prompted its rivals to reinvent themselves. Meta, which owns Facebook and Instagram, has turned both apps’ main feeds into algorithmically sorted “discovery engines” and launched Reels, a TikTok clone bolted onto Facebook and Instagram.",
91,bolt,,
92,makeover,"The latest TikTok-inspired makeover, announced on March 8th, was by Spotify",
93,broker,"Of the 64 minutes that the average American spends viewing such services each day, 40 minutes are spent watching video clips, up from 28 minutes just three years ago, estimates Bernstein, a broker. ",
94,snag,"However, this transformation comes with a snag.",
95,wand,You can’t really wave a magic wand and declare that your new ads are ‘premium’,
96,Auctions,"Auctions for video ads are less competitive than those for static ones, because many advertisers have yet to create ads in video format.",
97,substitute,"But this guesswork is no substitute for the hard personal data harvested by the previous generation of social networks, which persuaded users to fill in a lengthy profile including everything from their education to their marital status. ",
98,marital,,
99,upshot,The upshot is that many advertisers still treat short-form video as a place for loosely targeted so-called brand advertising,
100,Leverage,"Meta are leveraging their history,” says Mark Shmulik of Bernstein.",
